یہ	यह
and	and1
آ	आ
اپنے	अपने
اچھی	अच्छी
اچھے	अच्छे
ادھر	उधर
اس	इस
ایک	एक
امداد	इमदाद
ان	इन
اینٹ	ईंट
انسانوں	इंसानों
انہیں	उन्हें
انہوں	उन्हों
آوازیں	आवाज़ें
اور	और
اونچی	ऊंची
بھر	भर
برائے	बराय
بڑھ	बढ़
بڑے	बड़े
بستی	बस्ती
بیسوائیں	बेसवाएं
بغلوں	बग़लों
بنوانے	बनवाने
بنوائے	बनवाए
پاس	पास
پر	पर
پھرتے	फिरते
پکارتے	पुकारते
پھوٹی	फूटी
تی	ती
تھی	थी
تا	ता
تیا	तैया
تعمیر	तामीर
تھیں	थीं
تھے	थे
ہٹ	हट
ٹھانی	ठानी
ٹوٹی	टूटी
جی	जी
جان	जान
جگہ	जगह
جو	जो
جھو	झू
چابک	चाबुक
چھکڑوں	छकड़ों
چلا	चला
چنا	चुना
چند	चंद
چودہ	चौदह
چونا	चूना
حساب	हिसाब
خاصی	ख़ासी
خچروں	ख़च्चरों
ہدایات	हिदायात
دیہاتی	देहाती
دیہاتنیں	देहातनें
دام	दाम
دبائے	दबाय
دیتے	देते
درج	दर्ज
دست	दस्त
دل	दिल
دھیمی	धीमी
دن	दिन
دور	दूर
دوڑتے	दौड़ते
دوسرا	दूसरा
ڈانٹتے	डांटते
ڈپٹتے	डपटते
ر	र
رہتا	रहता
رہتیں	रहतीं
روز	रोज़
زمین	ज़मीन
س	स
ساتھ	साथ
سارا	सारा
سامان	सामान
سب	सब
سنتی	संती
سے	से
شہتیر	शहतीर
شہر	शहर
شروع	शुरू
شور	शोर
صاحب	साहब
صاف	साफ़
عالیشان	आलीशान
علاقہ	इलाक़ा
علاقے	इलाक़े
عمارتی	इमारती
غرض	ग़रज़
قبروں	क़ब्रों
قطعے	क़ुत्ते
قیمت	क़ीमत
کی	की
کا	का
کاپیا	कापिया
کاپیوں	कापियों
کام	काम
کتاب	किताब
کھیتوں	खेतों
کھٹ	खट
کر	कर
کرائے	कराए
کرتے	करते
کرنے	करने
کو	को
کھول	खोल
کے	के
کےلئے	केलिए
گیا	गया
گارڈر	गार्डर
گاڑیوں	गाड़ियों
گاؤں	गाओं
گدھوں	गिद्धों
گھروں	घरों
گنواتے	गंवाते
گئی	गई
گیے	गये
گیےاور	गीएऔर
لد	लद
لیےبلاتے	लिएबलाते
مالی	माली
مالدار	मालदार
متعلق	मुताल्लिक़
مٹی	मिट्टी
میر	मीर
مزدور	मज़दूर
مزدوروں	मज़दूरों
معمار	मुअम्मार
معماروں	मुअम्मारों
مکان	मकान
ملنے	मिलने
مملوکہ	ममलूकि
منتخب	मुंतख़ब
منشی	मुंशी
میں	में
ہموار	हमवार
نام	नाम
نچہ	निचा
نقشہ	नक़्शा
نقشے	नक़्शे
نکوں	निकों
ہنگامہ	हंगामा
نویسوں	नवीसों
نیوں	नियों
نے	ने
ں	प्फ़
و	व
ہو	हो
ہوا	हुआ
والے	वाले
وصول	वसूल
ہوئی	हुई
